order_id,user_name,content,,
205,本地宝,重庆疫情防控最新规定(持续更新),2021年4月29日,本地宝
206,中金在线,印度新冠疫情最新消息!美国务院建议在印美国公民尽快离境 此前纽约...,2021年4月29日,中金在线
207,武汉本地宝,2021年湖北疫情最新消息(持续更新),2021年4月29日,武汉本地宝
208,四海网,疫情严峻在印中国人还好吗?在印度的中国人目前现状如何,2021年4月29日,四海网
209,本地宝,上海疫情最新消息(每日更新),2021年4月29日,本地宝
210,新浪网,一周新增230万确诊 印度疫情怎么恶化成这样?,2021年4月29日,新浪网
211,石家庄市人民政府,马宇骏在市应对疫情工作领导小组调度会上指出,2021年4月29日,石家庄市人民政府
212,武汉本地宝,湖北疫情防控指挥部最新通告2021(持续更新),2021年4月29日,武汉本地宝
213,十堰秦楚网,"印度疫情迎来“至暗时刻”,在那里的中国人还好吗?",2021年4月29日,十堰秦楚网
214,新浪网,印度疫情是怎么“突然”全面失控的,2021年4月29日,新浪网
215,虎嗅网,印度疫情为什么爆炸?,2021年4月28日,虎嗅网
216,澎湃,"疫情下的印度:床位短缺,缺氧断气,人间地狱",2021年4月28日,澎湃
217,名城新闻网,"疫情形势复杂多变,多国出入境政策又有新变化!",2021年4月28日,名城新闻网
218,川观新闻,"疫情形势复杂多变,多国出入境政策又有新变化!",2021年4月28日,川观新闻
219,新浪网,印度疫情亲历者:眼睁睁看着这个国家变成“炼狱”,2021年4月27日,新浪网
220,中金在线,香港疫情最新消息!香港新增确诊8例 其中2人来自印度,2021年4月27日,中金在线
221,胶东在线,疫情严重 印度网友指责美国 把“伪善”“无法信任”打在了公屏上,2021年4月27日,胶东在线
222,虎嗅网,印度疫情亲历者:眼睁睁看着这个国家变成“炼狱”,2021年4月27日,虎嗅网
223,大众网,"“疫情已撼动整个国家!”印度疫情迅速恶化,多国表态愿提供援助",2021年4月27日,大众网
224,本地宝,2021云南瑞丽疫情最新消息(持续更新),2021年4月27日,本地宝
225,本地宝,瑞丽疫情最新消息2021(不断更新),2021年4月27日,本地宝
226,中金在线,印度疫情形势加剧恶化:全球严阵以待超级事件!市场情绪恐意外反转...,2021年4月26日,中金在线
227,一财网,印度新冠疫情催生黑市新品:一瓶氧气抵普通人半年工资,2021年4月26日,一财网
228,观察者网,"印度疫情悲惨一幕:找不到救护车,男子将父亲遗体绑车顶送去火葬",2021年4月26日,观察者网
229,观察者网,"印度疫情悲惨一幕:找不到救护车,男子将父亲遗体绑车顶送去火葬",2021年4月26日,观察者网
